,,Years,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
,,Total,5.30,5.21,5.24,5.47,5.24,5.13,5.44,5.56,5.70,5.80,5.26,5.85,6.01,5.91,6.95,7.70,7.88
1,,Andalucía,4.93,5.06,5.41,5.73,5.87,5.99,6.37,6.58,6.40,6.47,6.02,6.73,6.81,7.02,7.07,8.69,9.14
1,4,Almería,4.92,5.17,5.58,5.75,6.04,6.33,6.27,8.05,7.58,7.11,6.69,7.46,6.78,7.06,7.69,9.87,10.29
1,11,Cádiz,7.35,7.34,6.84,6.60,6.64,6.59,7.13,7.32,7.59,7.66,7.83,8.12,8.20,8.69,8.33,8.98,9.53
1,14,Córdoba,2.97,2.83,3.44,3.59,3.52,3.77,4.63,4.76,5.23,4.70,3.18,3.40,3.76,3.77,4.32,6.13,6.18
1,18,Granada,4.31,4.49,5.07,5.77,5.89,5.15,5.62,5.36,5.16,4.93,4.64,5.46,5.66,5.97,6.32,7.85,8.12
1,21,Huelva,4.89,5.28,5.14,5.31,5.50,4.84,5.47,5.68,6.23,7.26,6.09,5.98,6.26,5.03,6.16,8.37,9.61
1,23,Jaén,2.88,3.58,3.51,3.70,4.16,4.46,5.03,4.03,3.18,3.29,3.19,4.04,4.08,4.73,4.93,5.76,6.10
1,29,Málaga,7.05,7.16,7.11,7.31,7.31,6.91,7.08,7.89,8.26,9.00,8.52,9.67,9.95,10.07,10.17,11.60,12.26
1,41,Sevilla,3.84,3.85,5.08,5.89,6.10,7.11,7.27,7.27,6.23,6.08,5.67,6.53,6.41,6.73,6.00,8.23,8.53
2,,Aragón,3.78,4.03,3.99,4.00,3.57,3.44,3.50,3.45,4.20,4.81,4.61,5.42,6.16,6.47,6.52,7.02,6.92
2,22,Huesca,3.01,3.70,2.94,3.40,3.49,3.07,3.01,3.32,3.28,3.14,3.30,4.16,5.18,5.12,4.27,5.35,6.08
2,44,Teruel,1.58,1.72,2.28,2.44,2.13,2.50,2.31,2.86,3.02,3.26,2.57,2.99,3.06,3.37,3.77,4.28,4.09
2,50,Zaragoza,4.33,4.50,4.52,4.41,3.82,3.68,3.81,3.57,4.60,5.45,5.24,6.10,6.87,7.27,7.48,7.84,7.55
3,,Asturias (Principado de),3.99,4.15,3.92,4.24,4.39,3.96,3.87,4.01,4.47,4.58,4.54,5.14,5.32,5.65,5.86,6.86,7.08
4,,Balears (Illes),8.29,7.85,7.59,7.25,6.86,7.13,8.49,8.57,9.19,9.74,7.56,8.17,8.12,8.72,8.58,9.88,10.02
5,,Canarias,6.93,7.32,8.19,8.90,8.66,8.85,8.70,9.46,10.00,9.46,8.33,9.09,9.40,9.09,8.92,10.15,9.76
5,35,Las Palmas,8.29,8.72,9.66,10.97,10.84,10.32,10.52,11.49,12.07,11.25,9.61,10.02,10.05,9.26,9.43,10.11,9.68
5,38,Santa Cruz de Tenerife,5.49,5.83,6.63,6.71,6.33,7.29,6.74,7.28,7.76,7.53,6.95,8.09,8.71,8.91,8.38,10.19,9.85
6,,Cantabria,3.81,3.77,3.36,3.71,4.42,4.66,5.25,5.29,5.29,5.41,4.85,5.32,6.10,6.66,6.71,7.21,7.31
7,,Castilla y León,3.77,3.44,3.42,3.53,3.48,3.35,3.31,3.04,2.86,2.92,2.89,3.40,3.70,3.84,4.16,5.34,5.61
7,5,Ávila,6.06,4.16,3.50,2.77,2.71,3.07,2.62,2.97,3.17,3.69,3.65,5.20,4.15,4.79,4.79,6.97,6.44
7,9,Burgos,4.63,3.61,3.87,3.92,4.28,4.16,4.40,3.44,3.18,3.39,3.36,3.88,4.30,4.39,4.74,5.63,5.87
7,24,León,2.89,2.69,2.91,2.94,3.27,3.28,3.19,2.81,2.83,2.94,2.95,3.17,3.88,3.25,4.09,5.77,5.81
7,34,Palencia,4.61,4.70,4.03,4.78,5.01,4.24,4.35,3.85,3.83,3.32,2.56,3.20,3.97,3.95,3.94,4.83,5.19
7,37,Salamanca,3.49,3.77,3.61,3.63,3.34,3.08,2.91,2.99,2.43,2.30,2.41,2.62,3.00,3.35,4.06,4.80,5.29
7,40,Segovia,2.91,3.10,2.86,3.85,3.03,2.88,3.04,3.57,3.65,3.67,4.24,4.37,4.51,5.04,5.72,8.48,7.57
7,42,Soria,3.49,3.75,3.91,4.00,3.94,3.46,4.35,3.57,3.26,3.61,3.61,4.48,4.87,5.18,5.31,5.74,6.56
7,47,Valladolid,3.79,3.36,3.61,3.74,3.19,3.06,2.89,2.47,2.15,2.35,2.25,3.02,3.03,3.39,3.46,4.22,4.68
7,49,Zamora,3.10,3.08,2.66,2.72,2.94,3.02,2.84,3.11,2.97,2.65,2.67,2.91,3.38,2.94,3.17,3.96,5.18
8,,Castilla-La Mancha,3.32,3.37,3.84,4.42,4.21,3.65,3.83,3.96,4.22,4.36,4.23,4.83,4.87,5.05,5.80,7.30,7.93
8,2,Albacete,4.00,3.91,4.10,4.60,4.42,4.16,4.08,4.47,4.47,5.33,4.97,5.57,5.50,5.92,6.62,7.94,8.57
8,13,Ciudad Real,3.23,3.21,3.78,3.89,3.43,2.80,2.77,2.57,2.92,3.27,3.38,4.27,4.68,4.51,5.13,6.41,7.51
8,16,Cuenca,3.99,4.64,5.08,6.73,5.37,3.02,3.62,3.12,3.50,3.32,2.90,3.01,3.55,3.52,4.71,6.46,6.66
8,19,Guadalajara,3.64,4.15,4.80,5.77,6.29,6.42,7.43,8.51,8.96,7.73,7.45,7.54,6.06,6.18,6.36,8.14,8.17
8,45,Toledo,2.57,2.42,2.94,3.49,3.68,3.45,3.57,3.73,3.94,3.95,3.87,4.56,4.67,5.07,5.99,7.58,8.22
9,,Cataluña,7.61,7.30,7.00,6.92,6.14,5.75,5.53,5.55,5.65,5.25,4.25,4.44,3.92,2.34,7.96,7.08,6.54
9,8,Barcelona,8.37,7.90,7.53,7.45,6.70,6.51,6.29,6.43,6.59,6.02,4.77,4.89,4.18,2.01,7.61,6.81,6.30
9,17,Girona,5.10,5.38,5.28,4.89,2.33,0.73,0.39,0.64,0.60,0.52,0.42,0.62,0.53,0.63,9.47,7.99,7.13
9,25,Lleida,5.10,4.97,5.20,5.26,5.27,4.73,3.51,0.49,0.51,0.35,0.39,0.27,0.28,0.33,9.71,8.17,7.28
9,43,Tarragona,5.16,5.59,5.30,5.49,5.56,4.89,5.44,6.16,6.02,6.47,6.00,6.97,7.26,7.48,8.01,7.49,7.18
10,,Comunitat Valenciana,5.72,5.43,5.68,6.43,6.11,6.08,6.26,6.35,7.29,8.11,7.46,8.46,8.93,9.12,9.31,9.87,10.08
10,3,Alicante/Alacant,7.80,7.25,7.19,8.04,6.99,7.08,7.77,8.06,9.45,10.37,8.71,9.94,9.91,9.89,9.75,10.34,10.82
10,12,Castellón/Castelló,4.56,4.42,4.83,4.71,4.83,4.71,4.66,4.79,6.06,6.05,5.77,6.52,7.33,7.42,7.76,8.75,8.96
10,46,Valencia/València,4.69,4.52,4.93,5.79,5.82,5.74,5.64,5.59,6.15,7.06,6.99,7.87,8.60,8.94,9.34,9.77,9.80
11,,Extremadura,2.74,2.94,3.26,3.32,3.19,3.03,3.52,3.40,3.28,3.33,3.21,3.89,4.12,4.34,4.58,5.68,5.99
11,6,Badajoz,3.04,3.06,3.39,3.48,3.67,3.55,4.14,3.99,3.48,3.57,3.69,4.47,4.55,4.63,4.91,6.31,6.56
11,10,Cáceres,2.27,2.77,3.05,3.05,2.42,2.18,2.53,2.45,2.96,2.94,2.43,2.95,3.42,3.86,4.03,4.64,5.05
12,,Galicia,3.80,4.05,4.56,4.95,4.96,4.83,4.76,4.53,4.12,4.15,3.76,4.07,4.06,4.17,4.17,4.63,4.74
12,15,A Coruña,4.38,4.90,5.58,6.09,6.18,5.83,5.65,5.04,4.75,4.75,4.10,4.39,4.62,4.93,4.61,5.20,5.14
12,27,Lugo,2.84,3.02,3.76,3.77,3.71,3.49,3.65,3.81,3.79,3.93,3.73,3.83,2.95,3.18,3.40,3.89,3.85
12,32,Ourense,2.11,2.16,2.20,2.51,3.83,4.06,3.61,3.41,3.02,2.85,2.73,3.09,3.37,3.49,3.15,3.44,3.85
12,36,Pontevedra,4.16,4.18,4.55,4.97,4.41,4.46,4.58,4.62,3.91,4.01,3.73,4.12,4.07,3.86,4.30,4.64,4.90
13,,Madrid (Comunidad de),6.59,6.11,5.46,5.78,5.25,5.17,5.39,5.73,5.79,5.96,5.47,6.11,6.79,7.00,7.19,7.81,8.54
14,,Murcia (Región de),6.45,6.26,6.68,5.78,5.30,4.96,4.94,5.79,6.30,6.27,6.06,7.26,7.48,7.54,7.76,9.29,9.45
15,,Navarra (Comunidad Foral),2.85,2.74,2.10,2.69,2.87,2.60,2.60,2.62,3.16,3.04,2.75,3.05,3.01,2.93,3.29,5.53,5.72
16,,País Vasco,0.88,0.74,0.31,0.14,0.16,0.12,3.35,3.27,3.12,3.25,3.33,3.44,3.31,3.47,3.79,4.37,4.29
16,1,Álava,1.02,1.18,0.65,0.16,0.17,0.14,2.66,2.26,2.30,2.62,3.01,3.36,3.16,3.52,3.94,4.57,4.41
16,20,Guipúzcoa,0.66,0.32,0.42,0.14,0.23,0.11,3.49,3.29,2.81,3.05,3.00,2.90,2.90,3.18,3.92,4.72,4.98
16,48,Vizcaya,0.98,0.87,0.16,0.14,0.11,0.12,3.44,3.52,3.51,3.53,3.61,3.78,3.60,3.63,3.67,4.11,3.83
17,,Rioja (La),5.20,4.43,4.68,5.12,5.77,5.79,6.16,5.90,4.92,5.26,4.55,5.56,5.68,6.11,6.01,6.72,7.42
18,51,Ceuta,28.77,31.14,31.72,27.98,30.55,32.23,39.39,33.79,32.61,37.50,28.06,27.01,26.81,30.70,33.26,40.37,38.28
19,52,Melilla,32.83,37.27,40.86,42.99,39.64,30.11,29.74,33.44,31.19,27.98,23.98,24.19,25.30,19.38,19.71,22.52,24.61
